NodeID,Day,Room,Fraction,Patients,Weighted_Contrib
a6951f02d78f7ee58177a640527c075f,2,3,0.272396,2;67;77;84;87;89;116;123;133;175;193,2.996361
5b8afd11bb8bf84e9131d57b75c93443,2,3,0.238967,2;26;28;32;42;87;127;146;155;167;226,2.628641
a40ea45841885e1dbe4adfedb0e1c71d,2,3,0.141254,36;42;68;118;171;193;200;211;223,1.271286
1ff4934ee0e7e15f42aace2a189b3d93,2,3,0.192601,13;28;68;72;116;148;192;213;248,1.733405
e0fe559b5c69877734b19166efbedac9,2,3,0.042954,14;52;75;78;109;115;144;164;170;194;202;248,0.515452
7dcdd46dd47c65875db7520475e51440,2,2,0.114118,61;66;151;229;235;240,0.684708
0dfa4cb69b2efc0feae6e3b2c8ce71c8,2,2,0.070826,38;63;84;148;165;196,0.424954
16040a5f6604b74abbb9c51b07ac3e6c,2,2,0.090841,83;141;187;239,0.363364
8511bdce94d8dd860cb5aae6f7e45ce4,2,2,0.330559,137;140;188;216;220;245,1.983354
45ac21e59e52b054fb223c16e1d85664,2,2,0.010221,10;17;61;83;129;171;208;232,0.081770
e83975c41505b99a799cca1dc7321c88,2,2,0.137994,1;14;23;57;64;80;242,0.965956
8724be0e233822d0ee022e18eca2a419,2,2,0.003634,2;17;24;97;117;126;196;227,0.029074
bb7f6176c293850e508330757678dcf1,2,2,0.010680,4;73;141;175;207,0.053402
9f3ee7c9562d62d30596a759ee01e4ae,2,2,0.018813,8;19;76;144;150;158;227,0.131693
ab71f6c61d45936c01597c32781db4e2,2,2,0.106777,5;60;83;203;235,0.533885
730c5e94a686b0d976ed8c3db2196f4f,2,2,0.105536,4;14;104;178;187,0.527682
fdd1d53cc01c58e9639b3a76f15abeab,4,3,0.150903,21;27;33;56;100;102;160;182;196;198,1.509030
73d8498a4244b61e643908e851ecc7e7,4,3,0.337330,70;81;135;148;158;162;172;194;198;201;238,3.710630
cc06c5d9317295d8dadf6e3e1aff0d0d,4,3,0.068360,22;45;56;85;88;89;95;132;155;175;185,0.751959
b471b3bba13a0c779e706ef82bb68f0f,4,3,0.151061,0;21;40;50;64;95;106;127;144;234;236,1.661671
bbe4646f5aa8a96f142cce214c05a637,4,3,0.120390,14;21;24;26;52;111;145;176;244,1.083508
01f8a69b1580ff3d55700efda8f5adb2,4,3,0.003021,27;44;60;69;86;87;105;114;119;153,0.030214
d4a69e3125b184285a7b6687782f5e93,4,3,0.022044,18;20;34;35;50;71;106;211;240;242;248,0.242481
5b7798dec49191884a8fbe061fe9d95f,4,3,0.146891,18;41;44;54;87;101;108;180;223,1.322020
5bfdf838d12bf0553327618fc35d438f,4,2,0.171167,0;30;98;102;173;204,1.027003
8c47206aa3abf5b9b860a139b28f3575,4,2,0.061957,62;83;101;104;126;219,0.371742
97bf1194131892b7cd826951a9484874,4,2,0.232825,47;85;91;115;122;207;225,1.629772
264ad7167dc2fb6f8940d68fb9b8c8ce,4,2,0.237658,15;35;63;79;98;188;196,1.663604
53d61e5ebd07faa91b61fbe66b7b42e9,4,2,0.238144,59;99;113;124;199,1.190718
91e1446f296aba57741b2dc94e1d8858,4,2,0.056462,57;72;191;212;246,0.282311
062e2cd1c94aa97072e639191d97b37a,4,2,0.001788,21;81;151;189;224;227,0.010727
109d354e99c7f0efc05d1f169011364b,4,1,0.059373,4;53;78;203;207;220,0.356236
046246434c77704ffe334e1983c9480e,4,1,0.046296,4;12;19;58;76,0.231480
19838883e42b596e4d174d6fa94bab9e,4,1,0.112643,3;136;151;169;188;206;243,0.788501
f9dc8a622923c0cbb5a07325f4fd1452,4,1,0.029318,1;56;72;107;111;128;219;232,0.234544
8f2c63e31c886e543f3dbaa1b1ad6ac0,4,1,0.150913,2;29;30;151;187,0.754567
6e0d89f39fba207e476db73c08630786,4,1,0.160192,19;20;38;89;104;113,0.961152
c5d50ea3b7151eb43d188e69736fdd0c,4,1,0.045396,0;34;94;133;139;151;188;227,0.363165
76036b4c8bba3f66df605f55f8b06178,4,1,0.238421,15;43;86;143;178,1.192103
f5f73241e44696b6e2a0fdc4a100f310,4,1,0.157449,18;34;107;121;137;162;206;215,1.259591
2712ec1169e0c04ea31f69e4da707a6d,3,1,0.188260,62;90;165;212;219;232,1.129561
21a397fb20544fd8fa5709089d93622d,3,1,0.198669,16;63;90;114;184;206;241,1.390681
d5c05cd3562ddf52c56622f32b450f73,3,1,0.085502,43;52;143;202;204;215;232,0.598513
3af066eea60282e1b554628f52fca0d6,3,1,0.000746,46;137;162;167;221;241,0.004475
4328f46008a3d9b2027149d87f3d0c70,3,1,0.071794,8;46;53;54;77;117;145;189;242,0.646146
fcc4568b38c23866b58a4cc91e226307,3,1,0.237245,8;43;66;78;90;132,1.423470
ee024ed49239cb085dc934a421758d48,3,1,0.212885,3;43;49;140;144;224;227,1.490195
af9371c5f22a2a445f5c8787f15b0818,3,1,0.001293,5;12;19;113;158;241,0.007757
